Bob Jungels
Iljo Keisse
James Knox
Yves Lampaert
Fausto Masnada
Michael Mørkøv
Sean Quinn
Florian Sénéchal
Pieter Serry
Stijn Steels
Jannik Steimle
Zdenek Stybar
Bert Van Lerberghe
Mauri Vansevenant

Sean Bennett
Alberto Bettiol
Stefan Bissegger
Jonathan Caicedo
Hugh Carthy
Simon Clarke
Magnus Cort
Lawson Craddock
Mitchell Docker
Ruben Guerreiro
Kristoffer Halvorsen
Sergio Higuita
Moreno Hofland
Alex Howes
Tanel Kangert
Jens Keukeleire
Sebastian Langeveld
Daniel Martinez
Lachlan Morton
Logan Owen
Neilson Powless
Jonas Rutsch
Thomas Scully
Rigoberto Uran
Julius Van Den Berg
Tejay Van Garderen
Sep Vanmarcke
Luis Villalobos
James Whelan
Michael Woods

Bruno Armirail
William Bonnet
Alexys Brunel
Mickaël Delage
Arnaud Démare
Antoine Duchesne
Kilian Frankiny
David Gaudu
Kevin Geniets
Jacopo Guarnieri
Simon Guglielmi
Ignatas Konovalovas
Stefan Küng
Matthieu Ladagnous
Olivier Le Gac
Fabian Lienhard
Tobias Ludvigsson
Valentin Madouas
Rudy Molard
Thibaut Pinot
Sebastien Reichenbach
Anthony Roux
Marc Sarreau
Miles Scotson
Romain Seigle
Ramon Sinkeldam
Benjamin Thomas
Léo Vincent

Andrey Amador
Leonardo Basso
Egan Bernal
Richard Carapaz
Jonathan Castroviejo
Rohan Dennis
Owain Doull
Edward Dunbar
Chris Froome
Filippo Ganna
Tao Geoghegan Hart
Michal Golas
Ethan Hayter
Sebastian Henao
Christian Knees
Michal Kwiatkowski
Christopher Lawless
Gianni Moscon
Jhonnatan Narvaez
Salvatore Puccio
Brandon Rivera
Carlos Rodriguez
Luke Rowe
Pavel Sivakov
Ivan Sosa
Ian Stannard
Ben Swift
Geraint Thomas
Dylan Van Baarle
Cameron Wurf

Matteo Badilatti
Rudy Barbier
Jenthe Biermans
Guillaume Boivin
Matthias Brändle
Alexander Cataford
Davide Cimolai
Alex Dowsett
Itamar Einhorn
Omer Goldstein
André Greipel
Ben Hermans
Hugo Hofstetter
Reto Hollenstein
Daniel Martin
Travis McCabe
Daniel Navarro
Krists Neilands
Guy Niv
James Piccoli
Nils Politt
Alexis Renard
Mihkel Räim
Guy Sagiv
Patrick Schelling
Rory Sutherland
Norman Vahtra
Tom Van Asbroeck
Mads Würtz Schmidt
Rick Zabel

Sander Armee
Steff Cras
Jasper De Buyst
Thomas De Gendt
John Degenkolb
Stan Dewulf
Jonathan Dibben
Caleb Ewan
Frederik Frison
Philippe Gilbert
Kobe Goossens
Carl Fredrik Hagen
Adam Hansen
Matthew Holmes
Rasmus Iversen
Roger Kluge
Nikolas Maes
Tomasz Marczynski
Remy Mertz
Stefano Oldani
Gerben Thijssen
Tosh Van der Sande
Brian Van Goethem
Brent Van Moer
Harm Vanhoucke
Florian Vermeersch
Jelle Wallays
Tim Wellens

Edoardo Affini
Michael Albasini
Jack Bauer
Sam Bewley
Brent Bookwalter
Esteban Chaves
Luke Durbridge
Alex Edmondson
Tsgabu Grmay
Kaden Groves
Jack Haig
Lucas Hamilton
Michael Hepburn
Damien Howson
Daryl Impey
Christopher Juul-Jensen
Alexander Konychev
Cameron Meyer
Luka Mezgec
Mikel Nieve
Barnabas Peak
Nick Schultz
Callum Scotson
Dion Smith
Robert Stannard
Adam Yates
Simon Yates
Andrey Zeits

Juan Diego Alba
Jorge Arcas
Carlos Betancur
Hector Carretero
Dario Cataldo
Gabriel Cullaigh
Inigo Elosegui
Imanol Erviti
Juri Hollmann
Johan Jacobs
Matteo Jorgenson
Enric Mas
Lluis Mas
Sebastian Mora
Mathias Norsgaard
Nelson Oliveira
Antonio Pedrero
Eduard Prades
Jurgen Roelandts
José Joaquin Rojas
Einer Rubio
Sergio Samitier
Eduardo Sepulveda
Marc Soler
Albert Torres
Alejandro Valverde
Carlos Verona
Davide Villella

Carlos Barbero
Samuele Battistella
Edvald Boasson Hagen
Victor Campenaerts
Michael Carbel
Stefan de Bod
Nicholas Dlamini
Benjamin Dyball
Enrico Gasparotto
Amanuel Gebreigzabhier
Ryan Gibbons
Michael Gogl
Shotaro Iribe
Reinardt Janse Van Rensburg
Benjamin King
Roman Kreuziger
Louis Meintjes
Gino Mäder
Giacomo Nizzolo
Ben O'Connor
Domenico Pozzovivo
Matteo Sobrero
Andreas Stokbro
Dylan Sunderland
Jay Robert Thomson
Rasmus Tiller
Michael Valgren
Max Walscheid
Danilo Wyss

George Bennett
Koen Bouwman
Laurens De Plus
Tom Dumoulin
Pascal Eenkhoorn
Tobias Foss
Robert Gesink
Dylan Groenewegen
Chris Harper
Lennard Hofstede
Amund Grøndahl Jansen
Steven Kruijswijk
Sepp Kuss
Tom Leezer
Bert-Jan Lindeman
Paul Martens
Tony Martin
Christoph Pfingsten
Primoz Roglic
Timo Roosen
Mike Teunissen
Antwan Tolhoek
Wout Van Aert
Taco van der Hoorn
Jos Van Emden
Jonas Vingegaard
Maarten Wynants

Asbjørn Kragh Andersen
Søren Kragh Andersen
Thymen Arensman
Nikias Arndt
Tiesj Benoot
Cees Bol
Alberto Dainese
